Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,,
Poisoned Milk and the Poisoning of Democracy: Some Cautions about China Trade and Taiwan Sovereignty.,01 Health and Safety,Threatened,Democracy,,Poisoning,Democracy,Democracy,Poisoning,Contamination/Physical Harm,2867776,,
"New York's pensions are the financial equivalent of the neutron bomb: kill taxpayers right away, but save the bill for future generations,"" Astorino said.",01 Health and Safety,Threatened,taxypayers,,kill,taxpayers,Taxation,kill,Crime,2378125,,
The last thing we can afford is four more years where no one in Washington is watching anyone on Wall Street because politicians and lobbyists killed common-sense regulations.,01 Health and Safety,Threatened,regulations,,killed,regulations,Bureaucracy,killed,Crime,2081766,,
It is my personal opinion that a corrupt democracy is superior to an efficient dictatorship because of that exact reason.,01 Health and Safety,Threatened,democracy,,corrupt,democracy,Democracy,corrupt,Crime/Contamination,163628,,
To kill democracy in an attempt to save it will be a tragedy.,01 Health and Safety,Threatened,democracy,,kill,democracy,Democracy,kill,Crime/Physical Harm,2671911,,
"Even so, given our firsthand observations, we strongly believe that the diagnosis of Bolivian democracy as in danger and eroding is preemptive and unfounded.",01 Health and Safety,Threatened,democracy,,diagnosis,democracy,Democracy,diagnosis,Disease/Medicine,632127,,
"Together, you and I CAN defeat the Internet sales tax, but you must take action now!",01 Health and Safety,Threatened,sales tax,,defeat,sales tax,Taxation,defeat,Game/Struggle,158431,,
"Heinous allegations of abuse were charged against some tasked with caring for the most helpless, education proponents couldn't agree on the best way to teach local students, and the death of a bureaucracy left City officials scrambling to preserve their ability to spruce up the downtown.",01 Health and Safety,Threatened,bureaucracy,,death,bureaucracy,Bureaucracy,death,Life Stage,3119749,,
"Post-modern grassroots movements identify modernity with the death of democracy, not its flourishing.",01 Health and Safety,Threatened,democracy,,death,democracy,Democracy,death,Life Stage,2927616,,
"That brain freeze moment was widely regarded as the death of Perry's campaign for the presidency, yet his ad people are turning it around and trying to paint it as a positive.",01 Health and Safety,Threatened,campaign,,death,campaign,Elections,death,Life Stage,3118929,,
"To paraphrase Mark Twain, rumors of the death of guns have been greatly exaggerated.",01 Health and Safety,Threatened,guns,,death,guns,Guns,death,Life Stage,3124011,,
"The only person in perhaps seven hundred years who has truly walked in the steps of St. Paul, and his Lord, Jesus, is St. Francis, who died a miserable death of poverty, giving his life to the well being of others, whomever they were.",01 Health and Safety,Threatened,poverty,,death,poverty,Poverty,death,Life Stage,3121039,,
Civil nations must unanimously oppose a rough nation whose President openly declares his intention to destroy the only democracy of Middle East.,01 Health and Safety,Threatened,democracy,,destroy,democracy,Democracy,destroy,Natural Physical Force,2664153,,
"[I]f we and our posterity reject religious instruction and authority, violate the rules of eternal justice, trifle with the injunctions of morality, and recklessly destroy the political constitution which holds us together, no man can tell how sudden a catastrophe may overwhelm us that shall bury all our glory in profound obscurity.",01 Health and Safety,Threatened,constitution,,destroy,constitution,Government,destroy,Natural Physical Force,637507,,
"A bearish trend that seeks to re-calibrate the bullish mindset through devastation of wealth In either case, the goal is the same: To create a dislocation in market psychology that yields the ammunition necessary to take on the convergence of technical resistance points we are currently facing.",01 Health and Safety,Threatened,wealth,,devastation,wealth,Wealth,devastation,Natural Physical Force,2378356,,
"Once this dynamic takes hold, real estate turns into a wealth disaster.",01 Health and Safety,Threatened,wealth,,disaster,wealth,Wealth,disaster,Natural Physical Force,2378354,,
When I was growing up GA was a safe haven of gun rights and now it is just as bad as NYC!,01 Health and Safety,Threatened,gun rights,,haven,gun rights,Gun Rights,haven,Natural Physical Force,2378634,,
Let them know that what we want isn't annihilation of guns.,01 Health and Safety,Threatened,guns,,annihilation,guns,Guns,annihilation,Natural Physical Force/Physical Harm,3124071,,
So if we allow this inequity to continue and to destroy our democracy that is a blow for fledgeling democracies everywhere.,01 Health and Safety,Threatened,democracy,,destroy,democracy,Democracy,destroy,Natural Physical Force/Physical Harm,155561,,
"Democratic Senator Joseph Biden of Delaware, an announced contender for the Democratic presidential nomination in 2008, called Israels actions a totally legitimate self-defense effort prompted by an unprovoked effort by terrorist organizations supported by outside states to destroy a democracy in the Middle East.",01 Health and Safety,Threatened,democracy,,destroy,democracy,Democracy,destroy,Natural Physical Force/Physical Harm,443767,,
Destroy the 2nd amendment and what next.,01 Health and Safety,Threatened,2nd amendment,,Destroy,2nd amendment,Gun Rights,Destroy,Natural Physical Force/Physical Harm,3123770,,
and he ignores the fact that a strong majority of police officers do not support that liberal scheme against gun ownership note he cannot actually proffer a logical argument as to why registration does anything positive why-because the real motivations of those who seek registration is not to stop crime but to incrementally destroy our gun rights,01 Health and Safety,Threatened,gun rights,,destroy,gun rights,Gun Rights,destroy,Natural Physical Force/Physical Harm,2887919,,
"the anti gun scum bags try to incrementally destroy gun rights-hoping that when its time to finally ban guns, there won't be real resistance.",01 Health and Safety,Threatened,gun rights,,destroy,gun rights,Gun Rights,destroy,Natural Physical Force/Physical Harm,3124208,,
"Human rights are thus violated in order to be defended, democracy is destroyed to safeguard democracy, life is eliminated to preserve life.",01 Health and Safety,Threatened,democracy,,destroyed,democracy,Democracy,destroyed,Natural Physical Force/Physical Harm,1699907,,
"The mechanism for gun rights destruction was the Firearms Control Act (FCA), passed in 2000 by the South African Parliament.",01 Health and Safety,Threatened,gun rights,,destruction,gun rights,Gun Rights,destruction,Natural Physical Force/Physical Harm,3123769,,
"- Obama is continuing the process of transforming America into something that resembles Nazi Germany, with forced National Service, domestic civilian spies, warrantless wiretaps, the destruction of the Second Amendment, and Martial Law.",01 Health and Safety,Threatened,Second Amendment,,destruction,Second Amendment,Gun Rights,destruction,Natural Physical Force/Physical Harm,3766376,,
"While nonâ€“gun advocates may strain to see the link between prohibiting the destruction of guns and defending the Second Amendment, it makes sense when you consider the attitude of the NRA and its supporters: any encroachment on gun rights--defined as the right to own any firearm, at any time--is a threat to all gun rights.",01 Health and Safety,Threatened,guns,,destruction,guns,Guns,destruction,Natural Physical Force/Physical Harm,3124051,,
The devastation of democracy is clearly evident in the historical record.,01 Health and Safety,Threatened,democracy,,devastation,democracy,Democracy,devastation,Natural Physical Force/Physical Harm,155942,,
"I'm beginning to think that the US Constitution does not protect gun owners from landlords who ban guns on their premises, even though ""their premises"" is your private domicile.",01 Health and Safety,Threatened,Gun owners,,protect,gun owners,Guns,protect,Natural Physical Force/Protection,2909769,,
"But in general people greatly over-do the caution and doubt thing, to the great damage of democracy, my main point in #24 above.",01 Health and Safety,Threatened,democracy,,damage,democracy,Democracy,damage,Physical Harm,3118430,,
Courting LBA political money by presidential candidates requires a willful disregard of the systemic degradation of representative democracy.,01 Health and Safety,Threatened,representative democracy,,degradation,representative democracy,Democracy,degradation,Physical Harm,1787299,,
1) the strategy of the anti gun scum is to incrementally destroy gun rights 2) fineSwine admitted after the clinton gun ban was passed she wanted to confiscate every such gun listed in the Clinton bill but she didnt' have enough votes.,01 Health and Safety,Threatened,gun rights,destroy [threatened],destroy,gun rights,Gun Rights,destroy,Physical Harm,2892956,,
"But he is making a pretty bold statement about the fees they're charging, and how quickly they destroy investors' wealth.",01 Health and Safety,Threatened,wealth,,destroy,wealth,Wealth,destroy,Physical Harm,2672136,,
Let us hope that our stunning technological powers are someday matched by the wisdom to stop destroying the unimaginable medicinal riches that undoubtedly still lie undiscovered in obscure little plants growing in the forests and grasslands and deserts and marshes of the earth.,01 Health and Safety,Threatened,riches,,destroying,riches,Wealth,destroying,Physical Harm,126588,,
"For those few examples, we are then suppose to accept their belief that if we have registration in the USA the eventual nextstep will be a confiscation of guns and a destruction of the right to bear arms.",01 Health and Safety,Threatened,the right to bear arms,destruction of [threatened],destruction of,right to bear arms,Gun Rights,destruction,Physical Harm,2665606,,
"A lifelong socialist, King saw poverty and racism intrinsically linked and as thus, gave a convincing argument for democratic socialism being the only hope for the destruction of poverty and racism in America, stating:",01 Health and Safety,Threatened,poverty,,destruction,poverty,Poverty,destruction,Physical Harm,2378123,,
But several of them want to characterize that as a disintegration of bureaucracy.,01 Health and Safety,Threatened,bureaucracy,,disintegration,bureaucracy,Bureaucracy,disintegration,Physical Harm,3119501,,
The government slowly eroding gun rights is the same as a landlord taking away tenant space.,01 Health and Safety,Threatened,gun rights,eroding [threatened],eroding,gun rights,Gun Rights,eroding,Physical Harm,NA,,
What might harm our gun rights is this recent insistance on felons etc being able to buy firearms.,01 Health and Safety,Threatened,gun rights,,harm,gun rights,Gun Rights,harm,Physical Harm,2905737,,
Strongly Opposes topic 14:The Patriot Act harms civil liberties (-5 points on Social scale),01 Health and Safety,Threatened,civil liberties,,harms,civil liberties,Democracy,harms,Physical Harm,2457892,,
"If I worried that something I wrote would either hurt democracy or help democracy, I would freeze up like someone with Parkinson's disease, he said on the morning of Super Tuesday.",01 Health and Safety,Threatened,democracy,,hurt,democracy,Democracy,hurt,Physical Harm,156274,,
"The people who exposed the gun owners in an attempt to harass and hurt gun owners, are themselves hiding behind armed guards.",01 Health and Safety,Threatened,gun owners,,hurt,gun owners,Guns,hurt,Physical Harm,2902840,,
Has Inflation Hurt the Poor?,01 Health and Safety,Threatened,the Poor,,Hurt,the Poor,Poverty,Hurt,Physical Harm,2879867,,
Right now we know diddly squat...and any time a mentally unstable jerkwad purchases a gun and goes postal it hurts our gun rights more than if we supported stronger mental health care.,01 Health and Safety,Threatened,our gun rights,hurts [threatened],hurts,gun rights,Gun Rights,hurts,Physical Harm,2117277,,
There are two bills up in the State Senate in the next few days that will heavily impact your gun rights.,01 Health and Safety,Threatened,gun rights,,impact,gun rights,Gun Rights,impact,Physical Harm,2823917,,
"As we move into 2007, Jones said things farmers need to watch for that could impact their income include international trade agreements, the U.S. farm bill debate, energy costs, interest rates, and national and world economic growth.",01 Health and Safety,Threatened,income,,impact,income,Wealth,impact,Physical Harm,498427,,
"Actually, we are talking about anything in the powers given to Congress which impacts firearms and I just gave you a raft of them.",01 Health and Safety,Threatened,firearms,impact(s) [threatened],impacts,firearms,Guns,impacts,Physical Harm,NA,,
You see this executive order as basically nothing that impacts gun owners here in the US.,01 Health and Safety,Threatened,gun owners,impact(s) [threatened],impacts,gun owners,Guns,impacts,Physical Harm,2905723,,
,01 Health and Safety,Threatened,gun owners,impact(s) [threatened],impacts,gun owners,Guns,impacts,Physical Harm,2905723,,
Epidemic: Guns kill twice as many kids as cancer does,01 Health and Safety,Threatened,kids,kill [threatened],kill,Guns,Guns,kill,Physical Harm,NA,,
Killing Poverty Has the corruption in Kenya lessened under its new president?,01 Health and Safety,Threatened,Poverty,,Killing,Poverty,Poverty,Killing,Physical Harm,1999909,,
"Managing Editor James Kelly said the three had been chosen as the people most effective at finding ways to eradicate such calamities as malaria in Africa, HIV and AIDS and the grinding poverty that kills 8 million people a year.",01 Health and Safety,Threatened,8 million people a year,kill [threatened],kills,Poverty,Poverty,kills,Physical Harm,58539,,
"Wealth Management is the process of growing and preserving an individual's wealth and assets, as well as establishing a plan for the seamless transfer of those assets to beneficiaries.",01 Health and Safety,Threatened,wealth,,preserving,wealth,Wealth,preserving,Physical Harm,628600,,
An Axis victory in Europe and Asia would threaten democracy in North America.,01 Health and Safety,Threatened,democracy,,threaten,democracy,Democracy,threaten,Physical Harm,458138,,
"Instead, the government and media invested their resources in producing and circulating anti-blockade propaganda throughout the New Year season, proclaiming that the blockades were anti-patriotic, punished the poorest, and threatened ""democracy.""",01 Health and Safety,Threatened,democracy,,threatened,democracy,Democracy,threatened,Physical Harm,2453566,,
"Individually and collectively, we possess the power to protect and maintain democracy and democratic values.",01 Health and Safety,Threatened,democracy,,protect,democracy,Democracy,protect,Physical Harm/Protection,156080,,
Commonwealth Private Bank can help you build and protect your personal wealth.,01 Health and Safety,Threatened,personal wealth,,protect,personal wealth,Wealth,protect,Physical Harm/Protection,2080258,,
"By attacking the economic wealth generated by Ireland for Britain and the large Protestant landowners of Ireland, the Land League achieved victory where previous campaigns for rights in Ireland had failed.",01 Health and Safety,Threatened,wealth,,attacking,wealth,Wealth,attacking,Physical Harm/Struggle/War,118314,,
I have a right to defend my gun rights and will to the end.,01 Health and Safety,Threatened,gun rights,defend [threatened],defend,gun rights,Gun Rights,defend,Protection,2729239,,
"What is curious is how people furiously defend gun rights, while don't for other weapons.",01 Health and Safety,Threatened,gun rights,,defend,gun rights,Gun Rights,defend,Protection,2896392,,
How to Defend Your Gun Rights,01 Health and Safety,Threatened,Gun Rights,defend [threatened],Defend,Gun Rights,Gun Rights,Defend,Protection,NA,,
"Preserve, protect and defend the right to bear arms.",01 Health and Safety,Threatened,the right to bear arms,,defend,the right to bear arms,Gun Rights,defend,Protection,2407551,,
Apparently the simple fact that some 80% of households have a gun and that only 12% of the population support less gun control has no influence on your false belief that gun owners will vote to defend their firearms.,01 Health and Safety,Threatened,firearms,,defend,firearms,Guns,defend,Protection,2673214,,
The failure to defend taxation has its cost.,01 Health and Safety,Threatened,taxation,,defend,taxation,Taxation,defend,Protection,3121777,,
Thomas defended voluntary poverty as good because it frees people from vices related to wealth.,01 Health and Safety,Threatened,poverty,,defended,poverty,Poverty,defended,Protection,118521,,
"The group, the best-known defender of gun rights in America, scheduled a news conference for Friday.....<snip> I don't believe the NRA.",01 Health and Safety,Threatened,gun rights,defender of [threatened],defender of,gun rights,Gun Rights,defender,Protection,2904220,,
Now you are defending Felon's gun rights?,01 Health and Safety,Threatened,gun rights,,defending,gun rights,Gun Rights,defending,Protection,2719731,,
GUN SAFES are designed to guard your guns against theft when you are NOT PRESENT.,01 Health and Safety,Threatened,guns,,guard,guns,Guns,guard,Protection,2669106,,
"They could have attacked the issue of judicial review head on, as Congress's proposed amendments had sought to do, but they chose not to, perhaps anticipating the public's attachment to the idea of the judiciary as the guardian of the Constitution.",01 Health and Safety,Threatened,constitution,,guardian,Constitution,Democracy/Government,guardian,Protection,3120513,,
"In my last column I warned, and I say again, the NRA is not the intrinsic guardian of the 2nd amendment, or more apparently, of constitutional rights.",01 Health and Safety,Threatened,2nd amendment,,guardian,2nd amendment,Gun Rights,guardian,Protection,3123803,,
"As the GOP stands tall as the guardian of taxation for the nation's wealthy and guardian for corporate America, the party sacrifices programs that in the long run will help to make America strong and less dependent globally.",01 Health and Safety,Threatened,taxation,,guardian,taxation,Taxation,guardian,Protection,3121779,,
"But because a story like this in a gun control haven like Chicago doesn't fit the anti-gun agenda of the main stream media, it will be buried in the rubble.",01 Health and Safety,Threatened,gun control,[threatened] haven,haven,gun control,Control of Guns,haven,Protection,NA,,
"CFG specializes in helping individuals and small businesses build, protect and preserve wealth and the management of trust and retirement plans.",01 Health and Safety,Threatened,wealth,,preserve,wealth,Wealth,preserve,Protection,129691,,
"They wore T-shirts that said, ""Protect Our Civil Liberties.""",01 Health and Safety,Threatened,civil liberties,,protect,Civil Liberties,Democracy,Protect,Protection,2323025,,
"Its mission is to enhance the understanding of Islam, encourage dialogue, protect civil liberties, empower American Muslims and build coalitions that promote justice and mutual understanding.",01 Health and Safety,Threatened,civil liberties,,protect,civil liberties,Democracy,protect,Protection,2469884,,
"The coalition works for rights of undocumented, to protect civil liberties and, someday, a full integration of immigrants into the American Dream.",01 Health and Safety,Threatened,civil liberties,,protect,civil liberties,Democracy,protect,Protection,2917931,,
"Until last week, in spite of rhetoric stating that one of its principal goals in Colombia is to protect democracy, Washington had remained conspicuously silent regarding the recent anti-democratic maneuvers perpetrated by Colombia's hardliners.",01 Health and Safety,Threatened,democracy,,protect,democracy,Democracy,protect,Protection,2663969,,
These laws are really designed not to protect democracy but rather keep would be voters out.,01 Health and Safety,Threatened,democracy,,protect,democracy,Democracy,protect,Protection,2671166,,
This history exposes as a lie the case that parliaments alone can protect human rights.,01 Health and Safety,Threatened,human rights,,protect,human rights,Democracy,protect,Protection,2507289,,
Support Secretaries of State in who will protect the election,01 Health and Safety,Threatened,election,,protect,election,Elections,protect,Protection,2664497,,
"Perhaps that statement aimed to reject speculation on the part of some US politicians, such as Senator Bob Graham, who attributed Bush's refusal to an effort to protect the Saudi government.",01 Health and Safety,Threatened,government,,protect,government,Government,protect,Protection,2666831,,
The courts are not going to protect gun rights.,01 Health and Safety,Threatened,gun rights,,protect,gun rights,Gun Rights,protect,Protection,2165856,,
"be part of all public polling and public discussion going forward.</p> <p>In Pew's question, respondents are asked, ""Which is more important, to control gun ownership, or protect gun rights?"", as if controlling gun ownership is its own goal",01 Health and Safety,Threatened,gun rights,,protect,gun rights,Gun Rights,protect,Protection,2427952,,
"Joe, who is a Life Member of Gun Owners of America, committed in writing to protect your gun rights 100% of the time.",01 Health and Safety,Threatened,gun rights,,protect,gun rights,Gun Rights,protect,Protection,2834468,,
"Dudley claimed to be at the United Nations for the Arms Trade Treaty conference, yet nobody saw him in the building, but they did see Alan Gottlieb there, fighting to protect Americans' gun rights.",01 Health and Safety,Threatened,gun rights,,protect,gun rights,Gun Rights,protect,Protection,2869006,,
"No, I want to protect gun rights to save individual lives.",01 Health and Safety,Threatened,gun rights,,protect,gun rights,Gun Rights,protect,Protection,2907888,,
Includes locking glass lid to protect your firearm from dust and unauthorized handling.,01 Health and Safety,Threatened,firearm,,protect,firearm,Guns,protect,Protection,2897611,,
Being pro-gun simply means you protect guns..... a slogan designed to get people to give up their rights and protect a perceived safety mechanism.,01 Health and Safety,Threatened,guns,,protect,guns,Guns,protect,Protection,2119913,,
Protect Children Not Guns,01 Health and Safety,Threatened,guns,,protect,Guns,Guns,Protect,Protection,2425905,,
"In firearm owners case it is because they have exchanged their rights for firearm ownership and now protect their guns, not their rights.",01 Health and Safety,Threatened,guns,,protect,guns,Guns,protect,Protection,2672799,,
It's a crime people don't care about their rights and prefer to protect their guns or buy more instead.,01 Health and Safety,Threatened,guns,,protect,guns,Guns,protect,Protection,2673125,,
"Through the four actions we have taken today, FHFA and Treasury have acted on the responsibilities we have to protect the stability of the financial markets, including the mortgage market, and to protect the taxpayer to the maximum extent possible.",01 Health and Safety,Threatened,taxpayer,,protect,taxpayer,Taxation,protect,Protection,2659413,,
"President Obama, who created the idea of the sequester, is now against the sequester, saying it will lead to massive layoffs and accusing Republicans of choosing to protect the wealthy over first responders.",01 Health and Safety,Threatened,wealthy,,protect,wealthy,Wealth,protect,Protection,2660722,,
"But dire consequences are not expected by some legal experts, including Sanford Levinson, a noted constitutional scholar and liberal-leaning professor at the University of Texas who made news when he wrote that he, too, believed the Second Amendment protected individual rights to bear arms.",01 Health and Safety,Threatened,rights to bear arms,,protected,rights to bear arms,Gun Rights,protected,Protection,3701387,,
"The claim is that ""it protected the guns of the time.""",01 Health and Safety,Threatened,guns,,protected,guns,Guns,protected,Protection,2145743,,
"By responsibly using the statutes provided by Congress, the FBI has made substantial progress in its ability to proactively investigate and prevent terrorism and protect lives, while at the same time protecting civil liberties.""",01 Health and Safety,Threatened,civil liberties,,protecting,civil liberties,Democracy,protecting,Protection,2432390,,
"--as opposed to, quite obviously, reducing gun violence--in the way that protecting gun rights is its own goal.",01 Health and Safety,Threatened,gun rights,,protecting,gun rights,Gun Rights,protecting,Protection,2427884,,
The problem I feel we have is we have far too many irresponsible people with guns and far too lax protections on protecting guns from the hands of those who would use them for harm.,01 Health and Safety,Threatened,guns,,protecting,guns,Guns,protecting,Protection,2133696,,
Yeah right you go on protecting the guns and lets see what that gets us.,01 Health and Safety,Threatened,guns,,protecting,guns,Guns,protecting,Protection,2168586,,
Leaders from some of the nation&apos;s largest Christian congregations are urging President Obama and members of Congress to find a way to agree on new revenue and spending cuts that will reduce the deficit while protecting the poorest Americans.,01 Health and Safety,Threatened,Americans,,protecting,Americans,Poverty,protecting,Protection,2659726,,
"The Constitution protects many other civil liberties besides the freedom of speech and religion, the right of privacy, and the rights of the accused.",01 Health and Safety,Threatened,civil liberties,,protects,civil liberties,Democracy,protects,Protection,2581267,,
"The Supreme Court in 2008 ruled, in a case that overturned the District of Columbia's handgun ban, that the Constitution protects individual gun rights.",01 Health and Safety,Threatened,gun rights,,protects,gun rights,Gun Rights,protects,Protection,2426057,,
that claim destroys your prior argument that the second amendment protects no gun nor any class of firearms,01 Health and Safety,Threatened,gun,,protects,gun,Guns,protects,Protection,2147028,,
"I find it funny that you talk about perverted the second amendment after you have made such idiotic claims that the 2 protects no guns and that owning one gun is sufficient to permanently ""enjoy"" your second amendment rights what credentials does the Matt Talibi have?",01 Health and Safety,Threatened,guns,,protects,guns,Guns,protects,Protection,2103075,,
"Every time someone protects taxation they protect violence, because taxation will never be voluntary.",01 Health and Safety,Threatened,taxation,,protects,taxation,Taxation,protects,Protection,3125324,,
The GOP protects the rich at all cost and are willing to sink the whole ship to do it.,01 Health and Safety,Threatened,the rich,,protects,the rich,Wealth,protects,Protection,3519110,,
"As Jefferson's comment suggests, the right to acquire property was the critical right for the founders; it made property rights the friend of the poor by allowing them to earn and safeguard wealth (""the fruits acquired by"" work).",01 Health and Safety,Threatened,wealth,,safeguard,wealth,Wealth,safeguard,Protection,3123007,,
"In addition to democracy, safeguarded constitution, there should also be separation of powers.",01 Health and Safety,Threatened,constitution,,safeguarded,constitution,Democracy/Government,safeguarded,Protection,3120506,,
"If you disagree with a gun ban, then don't come here and defend a gun ban.",01 Health and Safety,Threatened,gun ban,,defend,gun ban,Guns,defend,Protection/Struggle,2890755,,
These actions caused the NRA and gun owners to get political and counterattack the Dem schemes the Dem solution changed to punishing the pro gun groups who funneled lots of money to pro gun (usually GOP) candidates. that is why we conservatives have become more active in defending gun rights-because Dem assholes in office wanted to rape our rights to stave off attacks that Dems are weak on dealing with violent street crime,01 Health and Safety,Threatened,gun rights,,defending,gun rights,Gun Rights,defending,Protection/Struggle,2143173,,
"To those who claim that the Congress has no power to pass a bill requiring all States and territories of the United States to enforce the second amendment by requiring them to honor concealed carry permits issued in all other states, the fourteenth amendment was intended to give the Congress exactly such power.",01 Health and Safety,Threatened,second amendment,,enforce,second amendment,Gun Rights,enforce,Rule Enforcer,3769067,,
why is attacking gun rights almost always a hobby of the socialist left?,01 Health and Safety,Threatened,gun rights,,attacking,gun rights,Gun Rights,attacking,Struggle,2701312,,
"What I have a major issue with, and what erased all that good in my mind is the narrow minded way he is attacking gun ownership.",01 Health and Safety,Threatened,gun ownership,,attacking,gun ownership,Guns,attacking,Struggle,2903030,,
That means that we must remain firm in our commitment to defeat gun control at every turn.,01 Health and Safety,Threatened,gun control,,defeat,gun control,Control of Guns,defeat,Struggle,2378716,,
"Further, to follow your reasoning would defeat taxation of the lion's share of services that are part of the sale of taxable items.",01 Health and Safety,Threatened,taxation,,defeat,taxation,Taxation,defeat,Struggle,159041,,
Now an anti-gun activist writes a letter in the tone that Joe wrote to express his sympathy for the father but goes on to defend a no guns policy.,01 Health and Safety,Threatened,guns policy,,defend,guns policy,Guns,defend,Struggle,2720236,,
People like Rebecca Peters see this as a golden opportunity becasue they know that people who accept gun control are not going to fight gun control or be motivated to even object.,01 Health and Safety,Threatened,gun control,,fight,gun control,Control of Guns,fight,Struggle,2120299,,
Firearm owners seem to be convinced the way to fight gun control is to instil some sort of appreciation for guns.,01 Health and Safety,Threatened,gun control,,fight,gun control,Control of Guns,fight,Struggle,2673306,,
"On the other side of the paradox, more people keeping and bearing arms means there's a larger constituency to fight new gun control, so I'm not certain it really helps our opponents any.",01 Health and Safety,Threatened,gun control,,fight,gun control,Control of Guns,fight,Struggle,2875474,,
Another: Nobody who accepts gun control will fight gun control.,01 Health and Safety,Threatened,gun control,,fight,gun control,Control of Guns,fight,Struggle,2909746,,
Firearm organisations provably have absolutely no idea of how to fight gun control and show no sign of figuring it out even if told.,01 Health and Safety,Threatened,gun control,,fight,gun control,Control of Guns,fight,Struggle,2909755,,
Recession entertainment @ its finest. fight hunger by promoting a competitive eater.,01 Health and Safety,Threatened,hunger,,fight,hunger,Poverty,fight,Struggle,134928,,
AT&T agrees to help fight childhood hunger,01 Health and Safety,Threatened,hunger,,fight,hunger,Poverty,fight,Struggle,2294245,,
"How can local governments and civil-society organizations effectively fight poverty and promote social responsibility in countries as diverse as Canada, China and Ghana?",01 Health and Safety,Threatened,poverty,,fight,poverty,Poverty,fight,Struggle,2665803,,
True to a point but might I point out the same type of suppositions are used to attack gun rights.,01 Health and Safety,Threatened,gun rights,,attack,gun rights,Gun Rights,attack,Struggle/War,2165839,,
"so it is your learned opinion that because left wing idiots in a state that is hostile to gun rights adopted a silly law, other left wing anti gun idiots in other states would not? actually, the NJ law has been proposed in other states. as I said, you constantly attack gun owners and then pretend we are paranoid that people like you might actually try to impose your hate through legislation",01 Health and Safety,Threatened,gun owners,,attack,gun owners,Guns,attack,Struggle/War,2885643,,
Paul Polakfounder of Colorado-based non-profit International Development Enterprises (IDE)is dedicated to developing practical solutions that attack poverty at its roots.,01 Health and Safety,Threatened,poverty,,attack,poverty,Poverty,attack,Struggle/War,2451006,,
He attacked the government of Juan MartÃ_n de PueyrredÃ_n and was banished (1817).,01 Health and Safety,Threatened,government,,attacked,government,Government,attacked,Struggle/War,2672057,,
you throw the term INSANE around a lot when the real insanity comes from the garment soiling gun haters who are either terrified of the fact that others make personal safety their individual responsibility or hate conservatives and think attacking gun rights is just punishment for us being against nanny state collectivism.,01 Health and Safety,Threatened,gun rights,,attacking,gun rights,Gun Rights,attacking,Struggle/War,2128433,,
Logical fallacy of the Left: You can't stop gun violence by attacking guns,01 Health and Safety,Threatened,guns,,attacking,guns,Guns,attacking,Struggle/War,2461038,,
WDR 2000/2001: Attacking Poverty,01 Health and Safety,Threatened,poverty,,attacking,Poverty,Poverty,Attacking,Struggle/War,1958399,,
World Development Report 2000/2001: Attacking Poverty.,01 Health and Safety,Threatened,poverty,,attacking,Poverty,Poverty,Attacking,Struggle/War,2088824,,
"He continuously attacks the Constitution in the name of upholding it and ""bringing back"" the America that never was.",01 Health and Safety,Threatened,Constitution,,attacks,Constitution,Government,attacks,Struggle/War,761678,,
"In contrast, many slaveowners in the early nineteenth century defended a strong national government as the best bulwark against both slave revolts and the ""leveling tendencies"" of non-slaveholders.",01 Health and Safety,Threatened,government,,defended,government,Government,defended,Struggle/War,155717,,
I live for the day when there is a website that shows what organisations are doing to fight gun control.,01 Health and Safety,Threatened,gun control,,fight,gun control,Control of Guns,fight,Struggle/War,2672779,,
Senators Willing to Surrender Our Second Amendment to UN Sovereignty,01 Health and Safety,Threatened,Second Amendment,,Surrender,Second Amendment,Gun Rights,Surrender,Struggle/War,3123854,,
"God!"" What's ""hard"" is not the wealth itself but the decision whether or not to surrender wealth in favor of poverty, the kind of poverty necessary to travel along behind Jesus on his journey to the cross in Jerusalem. What ""wealth""",01 Health and Safety,Threatened,wealth,,surrender,wealth,Wealth,surrender,Struggle/War,3123054,,
But gun control is theft - plain and simple - and I intend to attack gun control without talking specifically about guns.,01 Health and Safety,Threatened,gun control,,attack,gun control,Control of Guns,attack,War,2669240,,
"We attack democracy as such, we don't want ""real democracy"" instead of ""fake democracy.""",01 Health and Safety,Threatened,democracy,,attack,democracy,Democracy,attack,War,1973269,,
"Opposition parties in Thailand used the issue to attack the government, which initially backed the heritage listing.",01 Health and Safety,Threatened,government,,attack,government,Government,attack,War,382737,,
"What I respected is that she didn't use it to attack the firearm, it was just something she associated with her trauma and honestly I can't blame her for having that scar, it's a pretty scary thing to be involved in.",01 Health and Safety,Threatened,firearm,,attack,firearm,Guns,attack,War,2673085,,
"In this case, surgeon general pick will attack guns under the guise of a public health and safety campaign is indeed correct.",01 Health and Safety,Threatened,guns,,attack,guns,Guns,attack,War,2378746,,
He is working with CIRA on a statewide effort to attack poverty with sustainability initiatives.,01 Health and Safety,Threatened,poverty,,attack,poverty,Poverty,attack,War,3023943,,
"They attack ""rich people"" while enjoying all the spoils of their luck, I have zero problems with earned wealth, but these clowns literally lucked out in life.",01 Health and Safety,Threatened,rich people,,attack,rich people,Wealth,attack,War,2110177,,
